video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset
03,8,303,True,True,29,False
04,10,303,True,True,58,False
05,11,314,True,True,31,False
06,14,319,True,True,27,False
07,220,333,False,True,5,False
08,118,165,False,False,,False
08,265,289,False,False,,False
08,496,558,False,True,48,False
08,669,726,False,False,,False
09,221,290,False,True,25,False
09,608,689,False,True,22,False
10,300,611,False,True,57,False
11,350,589,False,True,182,False
15,150,349,False,False,,False
15,500,699,False,False,,False
