video,start,end,cold_start,detected,delay_frames,alarm_preexisting_at_onset
01,0,719,True,True,474,False
02,0,675,True,False,,False
03,0,673,True,True,76,False
04,0,682,True,True,113,False
05,348,406,False,False,,False
06,131,581,False,True,250,False
07,269,685,False,True,204,False
08,242,646,False,False,,False
09,620,711,False,False,,False
10,445,646,False,True,174,False
11,490,705,False,False,,False
12,95,205,False,False,,False
12,325,384,False,True,28,False
13,428,529,False,True,69,False
14,363,416,False,False,,False
14,645,718,False,False,,False
15,620,691,False,False,,False
